event_id,origintime,magnitude,magnitude_source,max_mmi,latitude,longitude,depth_km,err_lat,err_lon,err_depth,err_origintime,state,county,status
9880,2019-01-01 17:17:58,1.3,OGS,None,35.939,-96.733,6.5,0.21,0.21,0.4,None,Oklahoma,Payne,Reviewed
10427,2019-01-02 01:40:46,2.5,OGS,None,36.44933333,-96.88316667,5.21,0.21,0.21,0.3,None,Oklahoma,Pawnee,Reviewed
10430,2019-01-02 05:19:59,1.7,OGS,None,36.10733333,-97.867,3.3,0.14,0.14,0.4,None,Oklahoma,Kingfisher,Reviewed
10431,2019-01-02 06:40:32,2.6,OGS,None,36.1085,-97.8665,5.43,0.14,0.14,0.4,None,Oklahoma,Kingfisher,Reviewed
10432,2019-01-02 06:59:37,2.0,OGS,None,36.10866667,-97.86866667,4.53,0.14,0.14,0.4,None,Oklahoma,Kingfisher,Reviewed
10435,2019-01-02 09:06:11,1.7,OGS,None,36.44366667,-96.88366667,4.57,0.21,0.21,0.4,None,Oklahoma,Pawnee,Reviewed
9887,2019-01-02 09:42:51,2.3,OGS,None,36.75916667,-98.051,7.79,0.14,0.14,0.3,None,Oklahoma,Alfalfa,Reviewed
9888,2019-01-02 10:23:06,1.8,OGS,None,35.36483333,-96.544,4.94,0.42,0.42,0.8,None,Oklahoma,Okfuskee,Reviewed
9889,2019-01-02 12:31:40,1.1,OGS,None,36.124,-97.9035,2.36,0.78,0.78,11.3,None,Oklahoma,Kingfisher,Reviewed
9890,2019-01-02 18:28:59,1.1,OGS,None,35.9325,-96.73466667,2.55,0.14,0.14,0.8,None,Oklahoma,Payne,Reviewed
9892,2019-01-02 18:47:30,1.4,OGS,None,36.10816667,-97.87283333,4.12,0.21,0.21,0.6,None,Oklahoma,Kingfisher,Reviewed
4174,2019-01-02 19:06:13,2.3,OGS,None,36.23464584,-95.84762573,0.0,2.04,1.52,0.0,0.27154281,Oklahoma,Tulsa,Preliminary
9894,2019-01-02 20:49:42,1.3,OGS,None,36.4515,-96.8865,2.3,0.21,0.21,1.8,None,Oklahoma,Pawnee,Reviewed
9895,2019-01-02 21:32:53,1.1,OGS,None,36.44933333,-96.88633333,3.06,0.14,0.14,0.9,None,Oklahoma,Pawnee,Reviewed
9896,2019-01-02 22:06:08,1.4,OGS,None,36.4465,-96.88666667,4.63,0.21,0.21,0.4,None,Oklahoma,Pawnee,Reviewed
